"rho","rep","ridge_lambda","ridge_edf","ridge_l2","lasso_lambda","lasso_edf","lasso_l1"
0,100.5,0.198534422645249,20,2.90280382699628,0.03920139143825,11.165,6.48783944471548
0.5,100.5,0.345462006291612,20,2.97469811293527,0.06899993616377,9.02,6.53114389497536
0.8,100.5,0.534875885587547,20,2.98994219972315,0.0871302852549052,7.905,6.58319183804925
0.95,100.5,0.614727561037268,20,2.9237670317249,0.0687915581978342,7.675,6.73980520730696
0.99,100.5,0.641655913013552,20,2.5821158620339,0.0448932440441304,6.205,6.58233780245778
